actor,blurb,country,director,id,images,lang,name,player_list,remarks,score,type,update,year
,玄关门一打开，眼前冒出了一位小学女生—— “我依照约定来了，请收我为弟子！” 年仅十六岁便拥有将棋界最高头衔“龙王”的九头龙八一家里，出现一位名叫雏鹤爱的小学三年级生，九岁。 “什么？……弟子？你在说什么？” “……您不记得了吗？” 八一对自己答应过的事情完全没有印象，却展开了与小学女生同居的生活。受到爱直率的热情影响，八一也逐渐取回险些丧失的热忱——,日本,柳伸亮,446,http://TVA1.sinaimg.cn/large/0085VwIlgy1gsqx4hhye0j60ko0rsq8202.jpg,日语,龙王的工作,"[{'name': '主线路', 'url': '第01集$omofun-f0a8f716d1d6d083#第02集$omofun-de799da90703fec9#第03集$omofun-0be489fd4ac299f5#第04集$omofun-6bff5314562f83f1#第05集$omofun-7d706f877cb1b10d#第06集$omofun-fda826f8164ff8b8#第07集$omofun-e2c5e048a012d50b#第08集$omofun-d21fd9351790a797#第09集$omofun-8ae9ff485f78ab77#第10集$omofun-6fc43a4943b3b0be#第11集$omofun-f1b0a0574147410b#第12集$omofun-5c419b74abd24da3'}]",,1.0,"搞笑,治愈,动漫,日漫",2022-01-22 20:09:34,2018
,没有女朋友的岁月=年龄的普通高中生·桐生慧辉突然收到了一封情书。就在他为“终于要有女朋友了”而欣喜的时候，情书上并没有写到寄件人的名字，而且不知为何还附赠了一条纯白的小裤裤……而他身边的可爱女孩子们在性格上都是有点奇怪，谁都有可能做出这种事情！？“掉下了小裤裤的灰姑娘”到底是谁？ 一个个谜团接踵而至，甚至连变态也想要来掺和一脚，新感觉变态出没系恋爱喜剧就此开始！,日本,伊魔崎斋,493,http://tva1.sinaimg.cn/large/0085VwIlgy1gt2fvh0tywj60jn0rsdm202.jpg,日语,只要可爱即使是变态你也会喜欢我吧？,"[{'name': '主线路', 'url': '第01集$omofun-406bbc3612647bb1#第02集$omofun-0dcaa18286f1ed62#第03集$omofun-f05bec19dfd29419#第04集$omofun-c8604bf4352e2178#第05集$omofun-44944078c38e886f#第06集$omofun-63b46748fb2979ec#第07集$omofun-0976203a7a45d249#第08集$omofun-c934d444130383d8#第09集$omofun-cd27ee80caa3b1e8#第10集$omofun-29f8d3c15add987e#第11集$omofun-d31ab8d8b1a40dd0#第12集$omofun-1b690fbbac17b3c0'}]",,4.0,"搞笑,校园,动漫,日漫",2022-01-22 20:09:43,2019
,讲述生来无法使用魔法却意外获得黑色五叶草的魔法书的的少年亚斯塔，为了证明自己的力量，并且实现与朋友尤诺的约定，而以魔导士的顶点“魔法帝”为目标的故事。,2017,,1370,https://pic.rmb.bdstatic.com/bjh/675e3f7c89421da3a66f7bba8bd362cf.jpeg,日本,黑色四叶草,"[{'name': '主线路', 'url': '第01集$omofun-9002b4c622600385#第02集$omofun-6602df1320484278#第03集$omofun-874712be2eb57f73#第04集$omofun-4b4b8f031b4e3611#第05集$omofun-5564f5e74b1d457d#第06集$omofun-3518f88942110a89#第07集$omofun-8908f64165792e08#第08集$omofun-4d603fea66dc35cc#第09集$omofun-9da4a7b2ab67a475#第10集$omofun-6c615eaa1b1a8cb0#第11集$omofun-18a4f1cf7efab57e#第12集$omofun-68d62f6f75792abb#第13集$omofun-f2902dc172d1336f#第14集$omofun-75661ecb7f94db5a#第15集$omofun-7d8a5dfeed525aeb#第16集$omofun-9b4dac1fc38b8594#第17集$omofun-3ec49346eaa0c6fa#第18集$omofun-bf72a3718fbcbd83#第19集$omofun-ff5ed4659d729f3c#第20集$omofun-86f809e6a5ac8da7#第21集$omofun-11a149ead6990d8b#第22集$omofun-2e71c0b7829676e4#第23集$omofun-7fcf2883bc086396#第24集$omofun-d74c75355bf60fea#第25集$omofun-00b9876f8f29a894#第26集$omofun-3a4df38e247d0d64#第27集$omofun-02bc051c61280cb8#第28集$omofun-ff1c89fb1ee188bf#第29集$omofun-a8f8fca54b672a7c#第30集$omofun-ef331b7e2c6dbf75#第31集$omofun-741a63ef4ad2dd26#第32集$omofun-8be3976ee0f426ad#第33集$omofun-e82968d05d38fc2d#第34集$omofun-02a7f04c3be9249b#第35集$omofun-d1bc13d8c72850d6#第36集$omofun-120325cc867557bc#第37集$omofun-48665003036fdb60#第38集$omofun-b44f12849b6e9a17#第39集$omofun-bc49632b03806191#第40集$omofun-bb491429bfe65ba7#第41集$omofun-93c76215d118b39f#第42集$omofun-ad15b7fb4191a576#第43集$omofun-2096445d22249f46#第44集$omofun-f12cf80c9412138d#第45集$omofun-91d47973523c1f62#第46集$omofun-2b9eca2be198229b#第47集$omofun-0c16d5d078ed9618#第48集$omofun-d7f25d64278bb7df#第49集$omofun-473417e5c898a8d7#第50集$omofun-c6ae75d756985435#第51集$omofun-1dca9530a90be66b#第52集$omofun-042e6c8898771406#第53集$omofun-5982509298ba63a9#第54集$omofun-f54c142c60b23f57#第55集$omofun-3a4ca7a832bbb650#第56集$omofun-224d6200899743d1#第57集$omofun-3d1f8b095efb1630#第58集$omofun-e51b560dcd267447#第59集$omofun-029ccc68f7bfacbc#第60集$omofun-c66919ad2a2cb6d0#第61集$omofun-5bf429542aceecd4#第62集$omofun-b11adbfdf84d6403#第63集$omofun-bd0b537156bdb712#第64集$omofun-3213144e96d7c4f5#第65集$omofun-0c2614fb0e1e3ad9#第66集$omofun-fa798bf4532a2337#第67集$omofun-519941d74eb56287#第68集$omofun-7d5b11d401401499#第69集$omofun-31e0d5e6de6350b2#第70集$omofun-661602bcca09d3be#第71集$omofun-897c9e645ab30a31#第72集$omofun-5b1c39f09e77cf25#第73集$omofun-380f53bd44e7a447#第74集$omofun-b93e8b876cbc2f86#第75集$omofun-dad6713072bd28fe#第76集$omofun-07bbcde9693d24d2#第77集$omofun-4fb484aad5934a99#第78集$omofun-b2858a7f47eae466#第79集$omofun-af5b94785bbbf6ba#第80集$omofun-cba41182273afcc0#第81集$omofun-850181c494fa2f73#第82集$omofun-b0377fcb4ed403e3#第83集$omofun-c36655dde8802375#第84集$omofun-9a5121a0d9710b10#第85集$omofun-16e617cd46756e5f#第86集$omofun-e47f02348318994a#第87集$omofun-94f2be3293525f46#第88集$omofun-cd5d12762494475f#第89集$omofun-3e0fb02f371d3d01#第90集$omofun-90dc44b07d2ce46a#第91集$omofun-f6ff089d203d7c49#第92集$omofun-2a23d9549e62898e#第93集$omofun-522c269a4e4b4ecc#第94集$omofun-90951204dc46ad5b#第95集$omofun-5dd91e852b1a9705#第96集$omofun-fd8bc87617f9729e#第97集$omofun-96db64db9f27eab3#第98集$omofun-b7d0f0cf0a38f30f#第99集$omofun-50207c1962004330#第100集$omofun-d2e932303975d3fd#第101集$omofun-75a183f24cf7da77#第102集$omofun-7ca3d947dc7b3478#第103集$omofun-cc3372ded5d1e7ae#第104集$omofun-d7ae4cc3dc67a5be#第105集$omofun-ba76991a5503b70b#第106集$omofun-e828e045d6db5857#第107集$omofun-70108e15bb1ec212#第108集$omofun-be904180bb6ab022#第109集$omofun-be648ef051fd7c57#第110集$omofun-9701e562fcc3a44b#第111集$omofun-1d56a600537cf38d#第112集$omofun-36fbe5e05bce0151#第113集$omofun-234272dc07d3e027#第114集$omofun-38fec7b3b6ddd8d3#第115集$omofun-cfddc750dd27802c#第116集$omofun-1fe6091371607487#第117集$omofun-3bae5e27f214ed4d#第118集$omofun-0ce1f6740fe4f304#第119集$omofun-82e2b00f810fe0ed#第120集$omofun-6cf6061eaa6372aa#第121集$omofun-8147304b235d091e#第122集$omofun-ce258e92fe5f9e50#第123集$omofun-67292c86ddb08489#第124集$omofun-593f2d7fa26716cb#第125集$omofun-506ad1e356cd6a94#第126集$omofun-88b561d376e16ca3#第127集$omofun-ddaf5320fc7dc74e#第128集$omofun-d1deb8b4e8b761f8#第129集$omofun-79cef37cd6e5067f#第130集$omofun-0f7daf725bd945b6#第131集$omofun-2644a6f0aaeeb22b#第132集$omofun-ea37268c5bedd21e#第133集$omofun-232fff522d6e3d9d#第134集$omofun-d832eb971768a682#第135集$omofun-e2bcfb6dbf7304b5#第136集$omofun-1ca7920eb8d4863d#第137集$omofun-09f87a39ac162a56#第138集$omofun-02814b8228640fcb#第139集$omofun-34fa11cb3a9cb0bf#第140集$omofun-bbf8073765c16870#第141集$omofun-84b4e242a87c3572#第142集$omofun-b1873c1e4b8b94ae#第143集$omofun-bba776f486e745b0#第144集$omofun-72767c33d530d6f2#第145集$omofun-29e519e1b360963d#第146集$omofun-1b38c539f36618de#第147集$omofun-06c59284245ce3c2#第148集$omofun-25cd70a868250c7d#第149集$omofun-cbbb8e8f86a98147#第150集$omofun-20a011fe0f1bc6da#第151集$omofun-1781ec8d169154a1#第152集$omofun-1cfa998e50e14b04#第153集$omofun-c69a1ed81f2c0c02#第154集$omofun-094d96710c7da4a5#第155集$omofun-c33fc331c74a6ea3#第156集$omofun-e396bf0bc1997875#第157集$omofun-52daa0a03a4ba5bc#第158集$omofun-d316d83f26b69086#第159集$omofun-5b7fadb73fe3d8f6#第160集$omofun-aa80cdb384d1b432#第161集$omofun-503d0de241867c89#第162集$omofun-46e874518562dd8d#第163集$omofun-ba3d6ec78d17c23f#第164集$omofun-6f6c7334ecf510ee#第165集$omofun-b399da3f4c99f401#第166集$omofun-c630d5920b952eb2#第167集$omofun-e5a68c8cc31f9b2c#第168集$omofun-24c8162ee089959a#第169集$omofun-3060243454fabb36#第170集$omofun-31197bbca92d69de#第171集$omofun-72414aed4bbd2e71'}]",,8.1,"魔法,剧情,动漫",2022-03-25 17:20:34,2017-10-03
,献给无法把“喜欢你”说出口的你—— 本作描写的是随处可见、非常平凡的高中生们。他（她）们为了恋爱时而燃烧、时而仿徨、时而烦恼，伴随着笑容、哭泣和内心的伤痛，一场描述无法取代青春生活的群像剧即将在此上演……,日本,金子拓,740,http://TVA1.sinaimg.cn/large/0085VwIlgy1gsneknsxxmj60dw0hsaaz02.jpg,日语,徒然喜欢你,"[{'name': '主线路', 'url': '第01集$omofun-a0b34a9f963b6db3#第02集$omofun-06a109028371fbc3#第03集$omofun-6bc738966db746a0#第04集$omofun-c9341698811f07a2#第05集$omofun-4f97c10edf1a6d6a#第06集$omofun-50abe6e7a8903603#第07集$omofun-fee29641fe6ed2ff#第08集$omofun-cb0639912c9208be#第09集$omofun-f62133f8395100ea#第10集$omofun-635b2844335bdf16#第11集$omofun-fcdddba346c9a8d6#第12集$omofun-621136919ae70ed5'}]",,7.0,"恋爱,校园,治愈,搞笑,动漫,日漫",2022-01-22 20:10:43,2017
,小室孝（诹访部顺一 配音）就读于私立藤美学园高中午2年级，这一日，他正享受着校园悠闲而平静的生活，突然间，一个异物的闯入令学校成为了上演着鲜血和惨剧的舞台。一种被称之为“死体”的怪物包围了校园，它们狂暴嗜血，且拥有不可摧毁的肉体。通过好友井豪永（宫野真守 配音）的牺牲， 小室孝吃惊的发现，所有被这些怪物咬伤或咬死的人们，都将面临变异为死体的命运，而消灭它们的唯一方法，即是破坏它们的头部。　　为了争取生存的权利，为了保护所爱的人，小室孝不得不拿起武器开始战斗。亲梅竹马宫本丽（井上麻里奈 配音），剑道高手,日本,,1184,https://tva1.sinaimg.cn/mw2000/00858VDpgy1gzt94rj96vj30fk0m877o.jpg,,学园默示录,"[{'name': '主线路', 'url': '第01集$omofun-7737dcc59ec2d9fa#第02集$omofun-150a4cf3162705d9#第03集$omofun-044f041c748cd81f#第04集$omofun-a116bcb7e21fbc4b#第05集$omofun-10e5c261c94f3f06#第06集$omofun-60b552a77b438f7e#第07集$omofun-708cc281a998d0ed#第08集$omofun-8e3b13f88e33047a#第09集$omofun-dd280c884de105d0#第10集$omofun-5e46b560aa4b7315#第11集$omofun-388d6af92447b021#第12集$omofun-24b5baf9d390a4c2#OVA$omofun-0b9797120928c1ba'}, {'name': '临时线路', 'url': '第01集$https://m3u8.omofun.tv/dm1/xymsl/1.m3u8#第02集$https://m3u8.omofun.tv/dm1/xymsl/2.m3u8#第03集$https://m3u8.omofun.tv/dm1/xymsl/3.m3u8#第04集$https://m3u8.omofun.tv/dm1/xymsl/4.m3u8#第05集$https://m3u8.omofun.tv/dm1/xymsl/5.m3u8#第06集$https://m3u8.omofun.tv/dm1/xymsl/6.m3u8#第07集$https://m3u8.omofun.tv/dm1/xymsl/7.m3u8#第08集$https://m3u8.omofun.tv/dm1/xymsl/8.m3u8#第09集$https://m3u8.omofun.tv/dm1/xymsl/9.m3u8#第10集$https://m3u8.omofun.tv/dm1/xymsl/10.m3u8#第11集$https://m3u8.omofun.tv/dm1/xymsl/11.m3u8#第12集$https://m3u8.omofun.tv/dm1/xymsl/12.m3u8'}]",,7.0,动画 / 恐怖 / 灾难,2022-02-28 15:23:08,2010
,海鸥学园的奇妙传言之一。据说旧校舍三层女厕所的第三间里的同学，会实现前来拜访者的愿望。非常喜欢巫术等超自然现象的少女八寻宁宁为了实现自己的愿望，将之托付给了学园怪谈……,日本,安藤正臣,626,http://tva1.sinaimg.cn/large/0085VwIlgy1gt84dgw6tlj60le0u07d802.jpg,日语,地缚少年花子君,"[{'name': '主线路', 'url': '第01集$omofun-76ba2aca496a3f9e#第02集$omofun-8e272f72a7772440#第03集$omofun-c64b43b99f0d9015#第04集$omofun-a744218bb5a6b4cb#第05集$omofun-7c6628574c63fd97#第06集$omofun-e9654ef896cbfc5f#第07集$omofun-2451961c575d5ee4#第08集$omofun-db45d303b58a68b5#第09集$omofun-bfc3885cd12a357b#第10集$omofun-de21b067bdc68055#第11集$omofun-b1a90e7016d217b0#第12集$omofun-6b45ff23f91a5882'}, {'name': '临时线路', 'url': '第01集$https://m3u8.omofun.tv/dm1/dfsnhzj/1.m3u8#第02集$https://m3u8.omofun.tv/dm1/dfsnhzj/2.m3u8#第03集$https://m3u8.omofun.tv/dm1/dfsnhzj/3.m3u8#第04集$https://m3u8.omofun.tv/dm1/dfsnhzj/4.m3u8#第05集$https://m3u8.omofun.tv/dm1/dfsnhzj/5.m3u8#第06集$https://m3u8.omofun.tv/dm1/dfsnhzj/6.m3u8#第07集$https://m3u8.omofun.tv/dm1/dfsnhzj/7.m3u8#第08集$https://m3u8.omofun.tv/dm1/dfsnhzj/8.m3u8#第09集$https://m3u8.omofun.tv/dm1/dfsnhzj/9.m3u8#第10集$https://m3u8.omofun.tv/dm1/dfsnhzj/10.m3u8#第11集$https://m3u8.omofun.tv/dm1/dfsnhzj/11.m3u8#第12集$https://m3u8.omofun.tv/dm1/dfsnhzj/12.m3u8'}]",,7.0,"奇幻,搞笑,校园,恋爱,动漫,日漫",2022-01-22 20:10:14,2020
,小学时期，四位隶属游泳学会的成员于毕业前的大会夺得冠军，留下难忘的回忆后分道扬镳。时移世逆，悠闲度日的高中生少年七濑遥，突然有一天遇到他小学时代的游泳社的伙伴松冈凛。凛一边怀旧的同时向遥提出挑战，结果凛将遥压倒性击败。以此为契机，遥决定跟高中同校的橘真琴和叶月渚重新集结，加上新成员龙崎怜以及经理松冈江成立岩鸢高中的游泳部。充满跃动感的男子高中生，展开了这个关于游泳、青春与羁绊的物语。,日本,内海纮子,691,http://tva1.sinaimg.cn/large/0085VwIlgy1gtl5hxytn6j30cl0hs0yx.jpg,日语,男子游泳部Free!  第一季,"[{'name': '主线路', 'url': '第01集$omofun-cad5f964f932b20b#第02集$omofun-1a054e6b7de08396#第03集$omofun-564011bb893caa14#第04集$omofun-6b2867542fd43428#第05集$omofun-52fc2547247c3be2#第06集$omofun-952a7d6a53ef5190#第07集$omofun-78b0ad56a2856124#第08集$omofun-aa3a65b65e05009f#第09集$omofun-524d3809e0cb58e4#第10集$omofun-2adb2b7d1fe10ca7#第11集$omofun-5faccdbaa6684807#第12集$omofun-67649d1e26c18ae6'}]",,8.0,"战斗,校园,动漫,日漫",2022-01-22 20:10:26,2013
,经历了上一次的比赛后，进一步加深感情的七濑遥、橘真琴、叶月渚、龙崎怜在不变的日常生活中，都显示出了各自不断成长的姿态。另一方面，松冈凛战胜过去的自己，向自己的梦想前进，并且与新的伙伴一同以最棒的队伍作为目标而努力着。他们各自带着隐藏在内心的想法迎接崭新的夏天……围绕岩鸢与鲛柄、伙伴与游泳以及他们的未来这些要素展开的新故事就这样正式拉开帷幕。,日本,内海纮子,692,http://tva1.sinaimg.cn/large/0085VwIlgy1gtl5l956u7j30cs0hs3zr.jpg,日语,男子游泳部Free! 第二季,"[{'name': '主线路', 'url': '第01集$omofun-6a161016714324bc#第02集$omofun-0a8cb21c17456396#第03集$omofun-b1984d5cf3093557#第04集$omofun-7123bc7afc0ef71c#第05集$omofun-a8d5339e7a7b941d#第06集$omofun-8bf8822272edb231#第07集$omofun-89820a5f5044a3af#第08集$omofun-31b3d201c70d2a65#第09集$omofun-9e960a403bf1bb52#第10集$omofun-9367205a29880c68#第11集$omofun-bd9d2a10ac84d40e#第12集$omofun-7726525b651003da#第13集$omofun-889250186840a0ee'}]",,8.0,"战斗,校园,动漫,日漫",2022-01-22 20:10:26,2014
,天生拥有一头如红苹果般美丽发色的少女，白雪，拒绝成为恶名昭彰的拉冀王子的爱妾，困扰的她剪下她那一撮红发后离家出走，在逃跑到邻国克拉利涅斯的森林时，在那里的木屋遇到了刚偷偷出城玩克拉利涅斯王国的第二王子千，以及他的随从光秀和木木。而后在与千成了朋友并知道了他的真实身分后，自己决定在克拉利涅斯王国留下来，并决心以自己的力量来成为千的助力……,日本,安藤真裕,149,http://TVA1.sinaimg.cn/large/0085VwIlgy1gsfmrlmjusj60fk0m8wgt02.jpg,日语,赤发白雪姬,"[{'name': '主线路', 'url': '第01集$omofun-3623c8ff8aa75522#第02集$omofun-d3ffec5f55d5abbe#第03集$omofun-59a2c5a495bf7cde#第04集$omofun-300ffc3ed0cd8b33#第05集$omofun-9b7232431a2eff75#第06集$omofun-6b0c526c01522f4e#第07集$omofun-88b114ceb0e03698#第08集$omofun-83b27e42f483ca49#第09集$omofun-ba720dcb88cae891#第10集$omofun-fb9b8e9f20e63428#第11集$omofun-ecbd1447ebc99e31#第12集$omofun-cdb77afcb53a6d94'}]",,7.0,"奇幻,恋爱,动漫,日漫",2022-01-22 20:08:21,2015
,天生拥有一头如红苹果般美丽发色的少女，白雪，拒绝成为恶名昭彰的拉冀王子的爱妾，困扰的她剪下她那一撮红发后离家出走，在逃跑到邻国克拉利涅斯的森林时，在那里的木屋遇到了刚偷...,日本,安藤真裕,254,http://tva1.sinaimg.cn/large/0085VwIlgy1gsjtbezl8zj60td15oagt02.jpg,日语,赤发白雪姬 第二季,"[{'name': '主线路', 'url': '第01集$omofun-206c2980355a9ecb#第02集$omofun-e00e9448f798cf39#第03集$omofun-e7859756ee201764#第04集$omofun-9571b27ae29473e8#第05集$omofun-cd8000f75cbbabe1#第06集$omofun-71e093a3bc26c924#第07集$omofun-7a08be99302240b0#第08集$omofun-8098f66ae18640e9#第09集$omofun-e5f3c76f9b6d5d12#第10集$omofun-9f213fb72c52391b#第11集$omofun-496417352b50b783#第12集$omofun-d770ccd223624cdc#OAD$omofun-4b009ad2b204ba8a'}]",,7.0,"恋爱,奇幻,动漫,日漫",2022-01-22 20:08:46,2016
,少女宫下藤花，当她察觉到“世界之敌”的时候便会诞生出另一个名为“不吉波普”的人格。围绕着各种奇怪的事件，少年与少女们的故事慢慢展开了——,日本,,1501,https://tva4.sinaimg.cn/mw2000/00858VDpgy1h189m0o71dj328j35s4qp.jpg,日语,不吉波普不笑,"[{'name': '主线路', 'url': '第01集$omofun-615928f14a985014#第02集$omofun-eda9b88bf10e58a2#第03集$omofun-b391b9ceb60570ee#第04集$omofun-9dfb901e74024de1#第05集$omofun-126cc96136409193#第06集$omofun-363114df04dd13d1#第07集$omofun-d4cbf711eeee5dcc#第08集$omofun-5bf93f650bf82eb3#第09集$omofun-878fed810dea39d1#第10集$omofun-d9a7514d15b6c721#第11集$omofun-0f1a748a4fa35884#第12集$omofun-4438dcd15646eb9f#第13集$omofun-3e3f012961b25549#第14集$omofun-498d0273c5e1af02#第15集$omofun-e154345360c8f4af#第16集$omofun-6e49c92d83e67cdb#第17集$omofun-de9822ca87b32ba4#第18集$omofun-f410d20cc2960884'}]",,8.0,剧情 / 动画 / 悬疑 / 奇幻,2022-04-13 18:23:45,2019
,麻矢的父母因为更换工作地点，一家人从地方搬到了东京都。麻矢原本对东京抱有无限的幻想，但现实是来到了一个跟乡下一样的地方，主人公麻矢相当失落。曾经的邻居提出要来东京旅行请求麻矢陪伴，因为虚荣，麻矢答应了邻居的要求。然而，麻矢对东京却一点也不熟悉！?,日本,,1008,https://tva1.sinaimg.cn/mw2000/00858VDpgy1gz0azkayy0j30nm0xbn4e.jpg,日语,东京24区,"[{'name': '主线路', 'url': '第01集$omofun-137f135a5f5263f0#第02集$omofun-d6222ef1a23cbaaf#第03集$omofun-101f63286fbe7f9b#第04集$omofun-75903ffafa0aad2b#第05集$omofun-3c36c7b3f747022a#第06集$omofun-e42b47619614d174#第07集$omofun-34ae6c6669263cc9#第08集$omofun-1125fa809250f253#第09集$omofun-2a3411f82b658da8#第10集$omofun-01dba2245ed1777d#第11集$omofun-306a800ca09ec914#第12集$omofun-4d91d49ddb38f1d1#第13集$omofun-5be275131617077f'}]",,6.0,"动漫,日漫,动作",2022-02-03 14:57:11,2022
,时为公元二二〇五年。是以改变历史为目的的“历史修正主义者”开始对过去实施攻击的时代。被赋予了守护历史这一使命的“审神者”，由他们所唤起的最强付丧神“刀剑男士”。这是，他们以“某个本丸”为舞台，一心一意、开朗明快地生活的“花丸”日常物语——,日本,直谷隆,728,http://TVA1.sinaimg.cn/large/0085VwIlgy1gshuabvfpyj627f35snpd02.jpg,日语,刀剑乱舞-花丸,"[{'name': '主线路', 'url': '第01集$omofun-22316bac1e13824b#第02集$omofun-2fcd7a4158a94099#第03集$omofun-22f7f60e425fa687#第04集$omofun-5c4341f18a18aae3#第05集$omofun-3a8bc75c034f0bb9#第06集$omofun-0ac0b18bcd35595e#第07集$omofun-db07fc47d39552b8#第08集$omofun-5a5285e1261e12af#第09集$omofun-55f3a1d8191c2734#第10集$omofun-a12b8664260440d0#第11集$omofun-0cb127fb58f85b44#第12集$omofun-26681ba90def2ec0'}]",,5.0,"搞笑,动漫,日漫",2022-01-22 20:10:38,2016
,望月淳原作によるTVアニメ「ヴァニタスの手記（カルテ）」が、 分割2クールで放送されることが決定。,日本,,981,https://tva3.sinaimg.cn/large/008kBpBlgy1gxb7j8mka2j305i07n0t0.jpg,日语,瓦尼塔斯的笔记 第二季,"[{'name': '主线路', 'url': '第01集$omofun-ac648dc86363717c#第02集$omofun-b43ba0461b374813#第03集$omofun-9118b6ffbce14aef#第04集$omofun-903357a50ff61d8f#第05集$omofun-8ee1a48bf10aca49#第06集$omofun-ce2dac6ca57ac54b#第07集$omofun-5fff00282703a71a#第08集$omofun-39fc57969eaa84c7#第09集$omofun-b32f228bff12ff65#第10集$omofun-eeffa7f1427a6951#第11集$omofun-d29336ddac847ec4#第12集$omofun-ee2ff8f8e12f7e9c'}]",,6.0,"奇幻,动漫,日漫",2022-01-22 20:11:36,2022
,私立西顿学园——那是间大象与长颈鹿丶狮子与豹等各种动物们一同勤勉学习，以及为运动挥洒汗水的年轻人们的学校。但各种族间的纷争毫不间断，校内宛如弱肉强食的世界。在这学校里种族人数最少的人类少年·阿人，非常讨厌动物。期望能过着与动物互不相干安稳日子的他，在学生餐听偶然相识了孤狼少女·兰华。以讨厌动物的少年与连人类也喜欢的狼少女的相遇为起点的动物恋爱喜剧终於开始了！,日本,博史池畠,623,http://tva1.sinaimg.cn/large/0085VwIlgy1gt84i8t0znj60th15ox0d02.jpg,日语,成群结伴！西顿学园,"[{'name': '主线路', 'url': '第01集$omofun-5fe536f7a3f6ef7d#第02集$omofun-6f2b797b71c24d4c#第03集$omofun-7caa3ed3cb4c2579#第04集$omofun-9852f7add48e241b#第05集$omofun-ca6b35cce8f8ced8#第06集$omofun-b2bdb6c7f28e6871#第07集$omofun-0e2306ebcd7c598b#第08集$omofun-01a41ea9e597086c#第09集$omofun-211c1f2c969fa3da#第10集$omofun-377d608cc0debcf3#第11集$omofun-736977f0cb1ca595#第12集$omofun-6dc8430ca95a52fb'}]",,4.0,"搞笑,校园,恋爱,动漫,日漫",2022-01-22 20:10:14,2020
,本作故事发生在上一部“星尘斗士”的剧情结束的11年后，1999年，空条承太郎为寻外公乔瑟夫·乔斯达的私生子东方仗助来到日本M县S市杜王町，却发现仗助与其一样拥有着名为“替身”的特殊能力。以承太郎的到访为开端，发生在杜王町上有关“替身使者”们的全新故事拉开序幕。 在埃及与宿敌DIO的死斗之后过了11年。1999年，空条承太郎为了与祖父乔瑟夫·乔斯达的私生子东方仗助见面，而来到了日本M县S市杜王町。但，仗助却持有与承太郎相同的特殊能力“替身”。之后，以承太郎的来访为开端，仿佛被吸引一般，新的“替身使”们开始行,日本,津田尚克,793,http://tva1.sinaimg.cn/large/0085VwIlgy1gtg843xc8mj30fk0m8779.jpg,日语,JOJO的奇妙冒险 不灭钻石,"[{'name': '主线路', 'url': '第01集$omofun-09b7fb4655f647d9#第02集$omofun-e37d51e6338a1fbd#第03集$omofun-52ee9ac77145592d#第04集$omofun-62ebf4991c49d9cc#第05集$omofun-1da32b314e5bf38c#第06集$omofun-80dadd3043d06618#第07集$omofun-6942aa52e062ca32#第08集$omofun-2171084f2ba53d00#第09集$omofun-eed7de3e147f5bc5#第10集$omofun-3bb64d958c09d7af#第11集$omofun-ddd8eff709d61fa5#第12集$omofun-0dbb6c0d276ee3cb#第13集$omofun-5fd3db0d471b7907#第14集$omofun-998752692a4a8539#第15集$omofun-fbfd4889309884dd#第16集$omofun-e47a33f0b1297d95#第17集$omofun-f59e71ba1cc9f375#第18集$omofun-eea69eeb18e47de1#第19集$omofun-4e368ff53ae25be0#第20集$omofun-1139b1a9bf817bb3#第21集$omofun-97afd6b229943009#第22集$omofun-716e08b6140f1cc7#第23集$omofun-c767ecb1cbdbe6ba#第24集$omofun-8a87dceac2f68aba#第25集$omofun-fd228cf244a30eca#第26集$omofun-c9e8ccb463658797#第27集$omofun-b346d4fd662d5b66#第28集$omofun-d9700e8c3fa1b698#第29集$omofun-b171e89b5321aa5f#第30集$omofun-1eb9b80780cbd29e#第31集$omofun-15a3b4023e24012b#第32集$omofun-060b108ebd7f3efd#第33集$omofun-86c3ed06b9754285#第34集$omofun-01e9c83a748fda2a#第35集$omofun-4ecedb04b0db3bb2#第36集$omofun-62fb9d24c455e7b3#第37集$omofun-ec103de9feaeea5a#第38集$omofun-a3d612894ba6aeec#第39集$omofun-d119c3194a2da865'}]",,2.0,"冒险,奇幻,热血,战斗,动漫,日漫",2022-01-22 20:10:51,2016
